id,Район,Наименование организации,Сокращенное наименование,Адрес,Руководитель,Телефон,Факс,Электронная почта,Муниципальное образование,ИНН,ОГРН,latitude,longitude
15,Выборгский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №102 Выборгского района Санкт-Петербурга,ГБОУ школа №102 Выборгского района Санкт-Петербурга,"Санкт-Петербург, ул.Поклонногорская, 17/2",Ципляева Ольга Николаевна,293-45-75,293-45-74,102@shko.la,Шувалово-Озерки,7802143977,1027801583600,30.311520,60.026969
16,Выборгский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №103 с углубленным изучением математики и экономики Выборгского района Санкт-Петербурга,ГБОУ школа №103 с углубленным изучением математики и экономики Выборгского района Санкт-Петербурга,"Санкт-Петербург, ул.Руднева, д.23",Родичева Алла Федоровна,559-04-46,559-04-46,103@shko.la,МО № 15,7802123345,1027801583590,30.372531,60.049333
17,Выборгский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №104 имени Героя Советского Союза М.С. Харченко Выборгского района Санкт-Петербурга,ГБОУ школа №104 имени Героя Советского Союза М.С. Харченко Выборгского района Санкт-Петербурга,"Санкт-Петербург, ул.Харченко, д.27",Добренко Ирина Александровна,295-17-87,295-17-87,104@shko.la,Сампсониевское,7802146776,1027801583589,30.349791,59.986411
18,Выборгский,Государственное бюджетное общеобразовательное учреждение гимназия №105 Выборгского района Санкт-Петербурга,ГБОУ гимназия №105 Выборгского района Санкт-Петербурга,"Санкт-Петербург, ул.Орбели, 24, лит.А",Лозин Олег Ионович,552-59-88,552-59-88,105@shko.la,Светлановское,7802143260,1027801583578,30.340610,60.005301
19,Выборгский,Государственное бюджетное общеобразовательное учреждение гимназия №107 Выборгского района Санкт-Петербурга,ГБОУ гимназия №107 Выборгского района Санкт-Петербурга,"Санкт-Петербург, ул.Выборгская ул., д.3, лит.А",Киселев Виктор Валентинович,0542-08-23,0542-08-23,107@shko.la,Сампсониевское,7802144923,1027801583567,30.345785,59.964702
20,Выборгский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №110 Выборгского района Санкт-Петербурга,ГБОУ школа №110 Выборгского района Санкт-Петербурга,"г.Санкт-Петербург, Сиреневый бульвар, дом 8, корпус 2, литера А",Яковлева Татьяна Евгеньевна,417-38-51,417-38-48,110@shko.la,Парнас,7802144289,1027801583534,30.355261,60.054588
21,Выборгский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №112 Выборгского района Санкт-Петербурга,ГБОУ школа №112 Выборгского района Санкт-Петербурга,"Санкт-Петербург,  ул.Кустодиева, д.18, к.2",Сыкеева Людмила Петровна,558-15-38,592-47-80,112@shko.la,МО № 15,7802144169,1027801583512,30.360346,60.049338
22,Выборгский,Государственное бюджетное общеобразовательное учреждение гимназия №114 Выборгского района Санкт-Петербурга,ГБОУ гимназия №114 Выборгского района Санкт-Петербурга,"Санкт-Петербург, ул.Есенина, 34/2",Захарченко Ольга Сергеевна,417-27-33,417-27-33,114@shko.la,Парнас,7802120520,1027801583501,30.341564,60.053906
23,Выборгский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №115 Выборгского района Санкт-Петербурга,ГБОУ школа №115 Выборгского района Санкт-Петербурга,"Санкт-Петербург, Поэтический бульвар, 5/3, лит.А",Ананьина Галина Вадимовна,0517-11-30,517-48-60,115@shko.la,Парнас,7802142490,1027801583490,30.343891,60.042981
24,Выборгский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №117 Выборгского района Санкт-Петербурга,ГБОУ школа №117 Выборгского района Санкт-Петербурга,"Санкт-Петербург, пр.Пархоменко, д.17, литер А",Суворова Эдита Волдемаровна,417-61-20,417-61-20,117@shko.la,Светлановское,7802151462,1027801583479,30.339709,59.998986
25,Выборгский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №118 Выборгского района Санкт-Петербурга,ГБОУ школа №118 Выборгского района Санкт-Петербурга,"Санкт-Петербург,  ул.Руднева, 5/3, литер А",Фёдоров Виктор Викторович,417-24-17,417-24-17,118@shko.la,МО № 15,7802145885,1027801583468,30.365256,60.040520
26,Выборгский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №120 Выборгского района Санкт-Петербурга,ГБОУ школа №120 Выборгского района Санкт-Петербурга,"Санкт-Петербург, пр.Художников, д.24, к.2",Григорьева Виктория Михайловна,598-13-56,599-25-34,120@shko.la,Парнас,7802143599,1027801583457,30.349143,60.046759
27,Выборгский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №123 Выборгского района Санкт-Петербурга,ГБОУ школа №123 Выборгского района Санкт-Петербурга,"Санкт-Петербург, ул.Александра Матросова, д.11, лит.А",Ильичева Ирина Георгиевна,417-36-09,417-36-08,123@shko.la,Сампсониевское,7802143920,1027801583446,30.348606,59.983141
28,Выборгский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №124 с углубленным изучением английского языка Выборгского района Санкт-Петербурга,ГБОУ школа №124 с углубленным изучением английского языка Выборгского района Санкт-Петербурга,"Санкт-Петербург, пр.  Тореза, д.37, к.1, литер А",Шувалова Оксана Викторовна,552-79-30,552-79-30,124@shko.la,Парнас,7802147508,1027801583424,30.352316,60.009005
29,Выборгский,Государственное бюджетное образовательное учреждение для детей дошкольного и младшего школьного возраста прогимназия №130 Выборгского района Санкт-Петербурга,ГБОУ прогимназия №130 Выборгского района Санкт-Петербурга,"Санкт-Петербург, ул. Ивана Фомина, 7/4, литера А",Цвилих Ирина викторовна,417-25-90,417-25-90,130@shko.la,Парнас,7802139698,1027801583160,30.349134,60.047998
30,Выборгский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №135 Выборгского района Санкт-Петербурга,ГБОУ школа №135 Выборгского района Санкт-Петербурга,"Санкт-Петербург, Поэтический бульвар, д.3, корп.2, литера А",Лешко Елена Валерьевна,517-03-63,517-03-63,135@shko.la,Парнас,7802145405,1027801583413,30.341398,60.043637
31,Выборгский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №453 Выборгского района Санкт-Петербурга,ГБОУ школа №453 Выборгского района Санкт-Петербурга,"Санкт-Петербург, ул. Жени Егоровой, д.10, корп.2, лит.А",Зданович Ирина Николаевна,417-51-39,513-74-16,453@shko.la,Шувалово-Озерки,7802143493,1027801583556,30.308908,60.065113
32,Выборгский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №457 с углубленным изучением английского языка Выборгского района Санкт-Петербурга,ГБОУ школа №457 с углубленным изучением английского языка Выборгского района Санкт-Петербурга,"Санкт-Петербург, ул.Асафьева, д.6, корпус 1",Исаева Инна Александровна,417-23-92,417-23-96,457@shko.la,Шувалово-Озерки,7802145814,1027801582820,30.324602,60.049817
33,Выборгский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №463 Выборгского района Санкт-Петербурга,ГБОУ школа №463 Выборгского района Санкт-Петербурга,"Санкт-Петербург, ул. Асафьева, 7/2, литера А",Лунева Галина Юрьевна,417-37-02,417-37-00,463@shko.la,Шувалово-Озерки,7802141190,1020801582929,30.324851,60.046761
34,Выборгский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №468 Выборгского района Санкт-Петербурга,ГБОУшкола №468 Выборгского района Санкт-Петербурга,"Санкт-Петербург,  ул.Сикейроса, д.19, корп.1, лит.А",Пленкина Елена Алексеевна,417-52-39,592-31-52,468@shko.la,Сосновское,7802151543,1027801582939,30.337749,60.034698
35,Выборгский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №469 Выборгского района Санкт-Петербурга,ГБОУ школа №469 Выборгского района Санкт-Петербурга,"Санкт-Петербург, посёлок Парголово, Торфяное, Кооперативная улица, дом 27, литера А",Купорова Юлия Александровна,513-89-45; 513-88-50,513-88-50,469@shko.la,Парголово,7802143253,1027801582940,30.337807,60.080460
36,Выборгский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №471 Выборгского района Санкт-Петербурга,ГБОУ школа №471 Выборгского района Санкт-Петербурга,"Санкт-Петербург, п.Парголово, Осиновая Роща, Школьный пер., д.1, литера Б",Сидорова Ирина Викторовна,626-60-80,626-62-24,471@shko.la,Парголово,7802141400,1027801582951,30.265904,60.109279
37,Выборгский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №472 имени А.Т. Карпова Выборгского района Санкт-Петербурга,ГБОУ школа №472 имени А.Т. Карпова Выборгского района Санкт-Петербурга,"Санкт-Петербург, п.Левашово, ул.Первомайская, д.37, литер А",Куйбышева Зоя Николаевна,417-31-74,417-31-74,472@shko.la,Поселок Левашово,7802144306,1027801582962,30.195923,60.101853
38,Выборгский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №474 Выборгского района Санкт-Петербурга,ГБОУшкола №474 Выборгского района Санкт-Петербурга,"Санкт-Петербург, Выборгское шоссе, д.369, к.3, литера А",Николаева Ирина Владимировна,594-86-77,594-83-87,474@shko.la,Парголово,7802143126,1027801582973,30.311179,60.050421
39,Выборгский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №475 Выборгского района Санкт-Петербурга,ГБОУ школа №475 Выборгского района Санкт-Петербурга,"Санкт-Петербург, п. Парголово, ул.Торфяная, д.25, лит.А",Каумбаев Юрий Тоганбаевич,594-89-20,594-89-20,475@shko.la,Парголово,7802148780,1027801582984,30.241290,60.081430
40,Выборгский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №482 Выборгского района Санкт-Петербурга,ГБОУ школа №482 Выборгского района Санкт-Петербурга,"Санкт-Петербург, посёлок Парголово, улица Фёдора Абрамова, дом 6, литера А",Лубенникова Светлана Анатольевна,616-00-49,616-00-48,482@shko.la,Парголово,7802281214,1157847088640,30.333674,60.071686
41,Выборгский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №483 с углубленным изучением информатики Выборгского района Санкт-Петербурга,ГБОУ школа №483 с углубленным изучением информатики Выборгского района Санкт-Петербурга,"Санкт-Петербург, ул.Шостаковича, д.3, к.2, литера А",Кучерова Александра Геннадьевна,417-64-32,417-64-32,483@shko.la,Шувалово-Озерки,7802147900,1027801582995,30.329533,60.057051
42,Выборгский,Государственное бюджетное общеобразовательное учреждение лицей №486 Выборгского района Санкт-Петербурга,ГБОУ лицей №486 Выборгского района Санкт-Петербурга,"Санкт-Петербург, ул.Композиторов, 11/2",Васильева Юлия Владимировна,514-00-86,592-11-48,486@shko.la,Шувалово-Озерки,7802144225,1027801583006,30.318621,60.053782
43,Выборгский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №487 Выборгского района Санкт-Петербурга,ГБОУ школа №487 Выборгского района Санкт-Петербурга,"Санкт-Петербург, ул.Композиторов, д.22, корп.3",Кассихина Юлия Николаевна,514-49-63,514-49-63,487@shko.la,Шувалово-Озерки,7802084713,1027801583017,30.312259,60.060530
44,Выборгский,Государственное бюджетное общеобразовательное учреждение лицей №488 Выборгского района Санкт-Петербурга,ГБОУ лицей №488 Выборгского района Санкт-Петербурга,"Санкт-Петербург,пр.Просвещения, д.32, корп.4, лит.А",Осеннова Ниталья Юрьевна,515-35-71,515-35-71,488@shko.la,Шувалово-Озерки,7802123680,1027801583820,30.330188,60.056435
45,Выборгский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №494 Выборгского района Санкт-Петербурга,ГБОУ школа №494 Выборгского района Санкт-Петербурга,"Санкт-Петербург, ул.Композиторов, д.22, корп.2, литера А",Чернова Ирина Николаевна,515-86-37,515-86-37,494@shko.la,Шувалово-Озерки,7802144151,1027801583787,30.314324,60.060397
46,Выборгский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №517 с углубленным изучением предметов экономического профиля Выборгского района Санкт-Петербурга,ГБОУ школа №517 с углубленным изучением предметов экономического профиля Выборгского района Санкт-Петербурга,"Санкт-Петербург, пр. Раевского, 18, лит.А",Майборода Елена Николаевна,417-24-51,417-24-51,517@shko.la,Светлановское,7802084079,1027801583765,30.361892,60.014155
47,Выборгский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №518 Выборгского района Санкт-Петербурга,ГБОУ школа №518 Выборгского района Санкт-Петербурга,"Санкт-Петербург,ул. Есенина, 24, лит. А",Волосова Юлия Евсеевна,417-33-12,417-33-10,518@shko.la,Парнас,7802145444,1027801583754,30.337056,60.047409
48,Выборгский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №534 с углубленным изучением английского языка имени Героя России Тимура Сиразедтинова Выборгского района Санкт-Петербурга,ГБОУ школа №534 с углубленным изучением английского языка имени Героя России Тимура Сиразедтинова Выборгского района Санкт-Петербурга,"Санкт-Петербург, Светлановский пр., 31, лит.А",Бельская Марина Владимировна,552-50-82,552-50-82,534@shko.la,Светлановское,7802145606,1027801583732,30.346453,60.006890
49,Выборгский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №558 с углубленным изучением математики Выборгского района Санкт-Петербурга,ГБОУ школа №558 с углубленным изучением математики Выборгского района Санкт-Петербурга,"Санкт-Петербург , ул.Симонова, д.8, к.2, лит.А",Филиппов Максим Анатольевич,417-62-79,417-62-79,558@shko.la,Шувалово-Озерки,7802146293,1027801583721,30.321847,60.060211
50,Выборгский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №559 Выборгского района Санкт-Петербурга,ГБОУ школа №559 Выборгского района Санкт-Петербурга,"Санкт-Петербург     ,  ул. Есенина, д.36, к.2, литера А",Непомнищева Валерия Владимировна,417-33-04,417-33-01,559@shko.la,Парнас,7802144507,1027801583700,30.342039,60.055192
51,Выборгский,Государственное общеобразовательное учреждение средняя общеобразовательная школа №560 Выборгского района Санкт-Петербурга,ГБОУ школа №560 Выборгского района Санкт-Петербурга,"Санкт-Петербург, Комиссара Смирнова, д.17, литера А",Тужикова Елизавета Михайловна,0542-08-05,0542-08-05,560@shko.la,Сампсониевское,7802146783,1027801583710,30.345728,59.962244
52,Выборгский,Государственное общеобразовательное учреждение средняя общеобразовательная школа №584 «Озерки» Выборгского района Санкт-Петербурга,ГБОУ школа №584 «Озерки» Выборгского района Санкт-Петербурга,"Санкт-Петербург , ул. Руднева, д.8, корп. 3, лит.А",Супонина Людмила Геннадьевна,417-25-97,417-25-95,584@shko.la,МО № 15,7802114830,1037804019340,30.356496,60.040553
53,Выборгский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №605 с углубленным изучением немецкого языка Выборгского района Санкт-Петербурга,ГБОУ школа №605 с углубленным изучением немецкого языка Выборгского района Санкт-Петербурга,"Санкт-Петербург, пр. Просвещения, 46/4, литера А",Поломошнова Елена Борисовна,599-34-27,598-08-56,605@shko.la,Парнас,7802115048,1027801583897,30.351108,60.051646
54,Выборгский,Государственное бюджетное общеобразовательное учреждение гимназия №622 Выборгского района Санкт-Петербурга,ГБОУ гимназия №622 Выборгского района Санкт-Петербурга,"Санкт-Петербург, Выборгское шоссе, 7/2, лит.А",Алексахина Наталья Владимировна,417-53-22,417-53-28,622@shko.la,Шувалово-Озерки,7802141070,1027801583864,30.320442,60.042831
55,Выборгский,Государственное бюджетное общеобразовательное учреждение лицей№623 имени Ивана Петровича Павлова Выборгского района Санкт-Петербурга,ГБОУ лицей №623 имени Ивана Петровича Павлова Выборгского района Санкт-Петербурга,"Санкт-Петербург, ул. Есенина, д.22, корп.3, литер А",Бельцева Наталья Николаевна,517-85-49,517-41-02,623@shko.la,Парнас,7802145370,1027801583908,30.335409,60.046961
56,Выборгский,Государственное бюджетное общеобразовательное учреждение гимназия №652 Выборгского района Санкт-Петербурга,Государственное бюджетное общеобразовательное учреждение гимназия №652 Выборгского района Санкт-Петербурга,"Санкт-Петербург, пр. М.Тореза, д.41, литер А",Телятникова Екатерина Ивановна,417-36-14,417-36-13,652@shko.la,Светлановское,7802144070,1027801583930,30.350744,60.010729
57,Выборгский,"Государственное бюджетное образовательное учреждение для детей дошкольного и младшего школьного возраста прогимназия №677 с приоритетным осуществлением интеллектуального, художественно-эстетического и физического развития воспитанников и обучающихся Выборгского района Санкт-Петербурга","ГБОУ прогимназия №677 с приоритетным осуществлением интеллектуального, художественно-эстетического и физического развития воспитанников и обучающихся Выборгского района Санкт-Петербурга","Санкт-Петербург, Сиреневый бульвар, д.7, корпус 2",Абаляшина Лидия Ивановна,517-59-62,417-42-97,677@shko.la,Парнас,7802141591,1027801583094,30.353623,60.052603
58,Выборгский,Государственное бюджетное образовательное учреждение школа-интернат (1 вида) №1 Выборгского района Санкт-Петербурга,ГБОУ школа-интернат (1 вида) №1 Выборгского района Санкт-Петербурга,"Санкт-Петербург, пр. Энгельса, д.4",Бабкина Дарья Игоревна,0294-04-01,294-05-86,001@shko.la,Светлановское,7802144560,1027801583204,30.326729,59.999719
59,Выборгский,Государственное бюджетное образовательное учреждение школа-интернат (II вида) №33 Выборгского района Санкт-Петербурга,ГБОУ школа-интернат (II вида) №33 Выборгского района Санкт-Петербурга,"Санкт-Петербург, ул.Дрезденская, 13",Пинка Елена Анатольевна,550-22-71,550-24-59,033@shko.la,Светлановское,7802144465,1027801583226,30.331050,60.013447
60,Выборгский,Государственное бюджетное образовательное учреждение дополнительного образования детей Дом детского творчества »Современник Выборгского района Санкт-Петербурга,ГБУ ДО ДДТ »Современник Выборгского района Санкт-Петербурга,"Санкт-Петербург, ул.Ж.Егоровой, 10/3, лит.А",Козлова Наталия Александровна,514-02-53,515-66-83,Post@ddtsovremennik.spb.ru,Парнас,7802145638,1027801582236,30.311359,60.065004
61,Выборгский,Государственное бюджетное образовательное учреждение дополнительного образования детей Дом детского творчества «Союз»,ГБУ ДО ДДТ «Союз» Выборгского района Санкт-Петербурга,"Санкт-Петербург, пр. Раевского, д.5, корп.2, лит.А",Широкова Елена Петровна,534-32-41,534-32-41,Unionddt@yandex.ru,Светлановское,7802145758,1027801582225,30.365778,60.013825
62,Выборгский,"Государственное бюджетное учреждение дополнительного образования Центр психолого-педагогической, медицинской и социальной помощи Выборгского района Санкт-Петербурга",ГБУ ДО ЦППМСП Выборгского района Санкт-Петербурга,"Санкт-Петербург, Костромской пр., д.7",Кургинова Алевтина Николаевна,553-16-61,553-18-75,Viborpmss@bk.ru,Светлановское,7802089870,1027801582401,30.319336,60.012782
63,Выборгский,Государственное бюджетное образовательное учреждение дополнительного образования детей Дом детского творчества «Юность» Выборгского района Санкт-Петербурга,ГБУ ДО ДДТ «Юность» Выборгского района Санкт-Петербурга,"Санкт-Петербург, пр. Луначарского, д.1, корп.2",Полусьмак Светлана Викторовна,510-89-31,510-89-31,Ddt-unost@list.ru,Шувалово-Озерки,7802146769,1027801582258,30.320189,60.043287
64,Выборгский,Государственное бюджетное учреждение дополнительного образования детей Дворец детского (юношеского) творчества Выборгского района Санкт-Петербурга,ГБУ ДО ДДЮТ Выборгского района Санкт-Петербурга,"Санкт-Петербург, ул. Сантьяго де Куба, 4, корп.2",Савченко Натела Александровна,5140253,515-66-83,Dutvyb@mail.ru,Сосновское,7802146825,1027801582181,30.350399,60.034465
65,Выборгский,Государственное бюджетное учреждение дополнительного профессионального педагогического образования центр повышения квалификации специалистов «Информационно-методический Центр» Выборгского района Санкт-Петербурга,ГБУ ИМЦ Выборгского района Санкт-Петербурга,"Санкт-Петербург, Ярославский пр., д.72, литера А",Корсаков Андрей Владимирович,554-40-88,554-40-88,Nmcvb@shko.la,Светлановское,7802145645,1027801579651,30.315149,60.025952
66,Выборгский,Государственное бюджетное образовательное учреждение дополнительного образования детей Дом детского творчества ДДТ «ОЛИМП»,ГБУ ДО ДДТ «ОЛИМП» Выборгского района Санкт-Петербурга,"Санкт-Петербург, Придорожная аллея, д.17, лит.А",Севостьянова Юлия Валерьевна,417-26-82,599-39-00,Ddtolimp@ya.ru,Парнас,7802131378,1027801582214,30.361736,60.055012
67,Красногвардейский,Санкт Петербургское государственное автономное общеобразовательное учреждение средняя общеобразовательная школа №577 с углубленным изучением английского языка Красногвардейского района Санкт Петербурга,СПб ГАОУ средняя школа № 577 Красногвардейского района Санкт Петербурга,"г.Санкт-Петербург, Хасанская улица, дом 4, корпус 1, литера Б",Крошка Ольга Сергеевна,8(812)524 43 91,8(812)521 10 93,Sc577@rambler.ru,«Пороховые»,7806042270,1027804187916,30.479200,59.937734
68,Красногвардейский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №125 Красногвардейского района Санкт Петербурга,ГБОУ средняя общеобразовательная школа № 125 Санкт Петербурга,"Санкт-Петербург, Рябовское шоссе, дом 75, литера А",Исполняющий обязанности Трапезникова Оксана Владимировна,8(812)417 61 34,8(812)417 61 34,Info@school125.spb.ru,«Ржевка»,7806043669,1037816037753,30.506670,59.975981
69,Красногвардейский,Государственное бюджетное общеобразовательное учреждение гимназия № 177 Красногвардейского района Санкт Петербурга,ГБОУ гимназия №177 Красногвардейского района Санкт Петербурга,"г.Санкт-Петербург, Ириновский проспект, дом 23, корпус 2, литера А",Голованова Нели Николаевна,8(812)417 26 28,8(812)417 26 28,Gimnspb177@gmail.com,«Пороховые»,7806037785,1037816029547,30.472813,59.955926
